$ python analyze.py fam games sim.try_move,sim.check_position sim.check_block,sim.check_line frame.thing_record_body,proj.project_thing,sim.thing_load,sim.thing_pass stream.emit_col_lines,stream.sprite_runs,stream.emit_region hex.ptr_index,hex.read_hex,hex.write_hex,hex.write_byte
family sim.try_move,sim.check_position: 7 executed instances; top 40 by ops/frame
   ops/frame   calls/fr   ops/call  call site  |  path head
      25,986       3.38       7695  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      21,850       2.78       7857  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      20,493       2.59       7925  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)

family frame.thing_record_body,proj.project_thing,sim.thing_load,sim.thing_pass: 6 executed instances; top 40 by ops/frame
   ops/frame   calls/fr   ops/call  call site  |  path head
     965,345      62.51      15444  frame.thing_record_body 255, 255, 262144, 5242880, 80, 50, 160, 100, 2  |  frame.thing_record_body(26)
     839,867      62.51      13436  proj.project_thing trb_vis, trb_tx1, trb_tx2, trb_tytop, trb_thpx, trb  |  frame.thing_record_body(26)---proj.project_thing(16)
     704,965     219.23       3216  sim.thing_pass throw, 2, thpos_rt  |  sim.thing_pass(3)
     583,222       6.96      83784  frame.thing_record_body 255, 255, 262144, 5242880, 80, 50, 160, 100, 2  |  frame.thing_record_body(26)
     387,515      19.32      20057  proj.project_thing trb_vis, trb_tx1, trb_tx2, trb_tytop, trb_thpx, trb  |  frame.thing_record_body(26)---proj.project_thing(16)
     376,061      19.32      19464  .thing_load throw, n_th, thpos, h  |  sim.thing_pass(3)---sim.thing_load(4)

family stream.emit_col_lines,stream.sprite_runs,stream.emit_region: 9 executed instances; top 40 by ops/frame
   ops/frame   calls/fr   ops/call  call site  |  path head
   1,643,727     103.46      15887  stream.emit_col_lines centery, viewh, w2s, wpx, w1r, wpxstride, eabl,   |  frame.seg_pass2_leaf_body_li---stream.emit_col_lines(45)
     189,197      14.63      12930  rep(things, k) .emit_region ecl_full_lo, ssy1, viewh, w2s, wpx, w1r, s  |  frame.seg_pass2_leaf_body_li---stream.emit_col_lines(45)---stream.emit_region(32)
     159,436      14.63      10896  rep(things, k) .sprite_runs sblk, sy0b, slr, viewh, blkshift  |  frame.seg_pass2_leaf_body_li---stream.emit_col_lines(45)---stream.sprite_runs(5)
      93,689      14.63       6403  rep(things, k) .emit_region ssy2, ecl_full_hi, viewh, w2s, wpx, w1r, s  |  frame.seg_pass2_leaf_body_li---stream.emit_col_lines(45)---stream.emit_region(32)
       5,775       0.43      13338  rep(things, k) .sprite_runs sblk, sy0b, slr, viewh, blkshift  |  frame.seg_pass2_leaf_body_li---stream.emit_col_lines(45)---stream.sprite_runs(5)
       4,657       0.43      10757  rep(things, k) .emit_region ecl_full_lo, ecl_spr_top, viewh, w2s, wpx,  |  frame.seg_pass2_leaf_body_li---stream.emit_col_lines(45)---stream.emit_region(32)
       1,745       0.43       4032  rep(things, k) .emit_region ecl_spr_bot, ecl_full_hi, viewh, w2s, wpx,  |  frame.seg_pass2_leaf_body_li---stream.emit_col_lines(45)---stream.emit_region(32)
       1,596       0.19       8535  rep(things, k) .emit_region ssy2b, ssy1, viewh, w2s, wpx, w1r, stack,   |  frame.seg_pass2_leaf_body_li---stream.emit_col_lines(45)---stream.emit_region(32)
          91       0.03       2846  rep(things, k) .emit_region ssy2, ssy1b, viewh, w2s, wpx, w1r, stack,   |  frame.seg_pass2_leaf_body_li---stream.emit_col_lines(45)---stream.emit_region(32)

family hex.ptr_index,hex.read_hex,hex.write_hex,hex.write_byte: 37 executed instances; top 40 by ops/frame
   ops/frame   calls/fr   ops/call  call site  |  path head
     186,577     219.23        851  hex.ptr_index hp, hq, cur_ss  |  sim.thing_pass(3)---hex.ptr_index(3)
     134,740      19.32       6974  hex.read_hex 16, pos, pptr  |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
     129,438      75.00       1726  hex.read_hex 4, ptss, sptr  |  sim.bind_things(3)---hex.read_hex(3)
      74,700     342.40        218  hex.read_hex tsf_drawn_v, tsf_drawn_p     // drawn[] holds 0/1 -- one   |  frame.seg_pass1_leaf_body_ts---frame.ts_step_faces(10)---hex.read_hex(2)
      69,246      75.00        923  hex.ptr_index sptr, pbase, poff  |  sim.bind_things(3)---hex.ptr_index(3)
      63,274     160.00        395    |  frame.seg_pass2_leaf_body_li---hex.write_hex_and_inc(2)---hex.write_hex(2)
      58,854      75.00        785  hex.ptr_index p, q, ptss  |  sim.bind_things(3)---hex.ptr_index(3)
      58,409      75.00        779  hex.ptr_index r, q, t  |  sim.bind_things(3)---hex.ptr_index(3)
      37,756      75.00        503  hex.write_byte r, hv  |  sim.bind_things(3)---hex.write_byte(2)
      36,520      75.00        487  hex.write_byte p, tv  |  sim.bind_things(3)---hex.write_byte(2)
